"species_id","year","weight"
"NL",2001,280
"NL",1987,278
"NL",1989,275
"NL",1979,274
"NL",1987,270
"NL",1987,269
"NL",2000,265
"NL",1981,264
"NL",1987,260
"NL",1987,260
"NL",1987,259
"NL",1984,259
"NL",1983,256
"NL",1987,253
"NL",1982,252
"NL",2001,252
"NL",1981,251
"NL",1984,250
"NL",1989,249
"NL",1983,248
"NL",1988,248
"NL",2002,248
"NL",1982,248
"NL",1987,247
"NL",1990,243
"NL",1980,243
"NL",1989,242
"NL",1984,241
"NL",1980,241
"NL",1980,241
"NL",1989,240
"NL",1986,240
"NL",1980,239
"NL",1987,239
"NL",1983,239
"NL",1979,239
"NL",2002,238
"NL",1998,238
"NL",1982,237
"NL",1988,235
"NL",1982,235
"NL",1981,235
"NL",1983,235
"NL",1982,235
"NL",1987,234
"NL",1983,233
"NL",1993,233
"NL",1978,232
"NL",1978,232
"NL",1988,232
"NL",1997,231
"NL",2001,231
"NL",1981,231
"NL",1988,230
"NL",1987,230
"NL",2000,228
"NL",1978,228
"NL",1999,227
"NL",1988,227
"NL",2002,227
"NL",1986,227
"NL",2002,226
"NL",1994,226
"NL",1983,226
"NL",1982,226
"NL",1988,226
"NL",1982,226
"NL",2002,225
"NL",1985,225
"NL",1978,225
"NL",1984,224
"NL",2002,224
"NL",1981,223
"NL",1988,223
"NL",1978,223
"NL",1982,223
"NL",1984,222
"NL",2002,222
"NL",1982,222
"NL",1986,221
"NL",2001,221
"NL",1994,220
"NL",1992,220
"NL",1988,220
"NL",1999,220
"NL",1984,220
"NL",1981,220
"NL",1997,220
"NL",1982,220
"NL",1987,220
"NL",1981,220
"NL",1982,219
"NL",1982,219
"NL",1987,218
"NL",2001,218
"NL",1990,218
"NL",1983,218
"NL",1981,218
"NL",1978,218
"NL",1978,218
